Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,23546,446,3928,19172,656,20,602,1.89,16.68,11.35,18969,4577,24.13,Eastern Mediterranean
Albania,1416,36,1034,346,31,1,33,2.54,73.02,3.48,1212,204,16.83,Europe
Algeria,10698,751,7322,2625,109,10,67,7.02,68.44,10.26,9935,763,7.68,Africa
Andorra,853,51,781,21,1,0,1,5.98,91.56,6.53,852,1,0.12,Europe
Angola,130,5,42,83,12,0,1,3.85,32.31,11.9,86,44,51.16,Africa
Antigua and Barbuda,26,3,20,3,0,0,0,11.54,76.92,15.0,26,0,0.0,Americas
Argentina,28764,785,8743,19236,1391,20,411,2.73,30.4,8.98,21037,7727,36.73,Americas
Armenia,15281,258,5639,9384,612,13,173,1.69,36.9,4.58,11817,3464,29.31,Europe
Australia,7294,102,6803,389,5,0,21,1.4,93.27,1.5,7252,42,0.58,Western Pacific
Austria,17064,675,15985,404,30,1,36,3.96,93.68,4.22,16843,221,1.31,Europe
Azerbaijan,9218,113,5116,3989,336,5,186,1.23,55.5,2.21,6860,2358,34.37,Europe
Bahamas,103,11,68,24,0,0,0,10.68,66.02,16.18,102,1,0.98,Americas
Bahrain,17269,36,11903,5330,602,2,416,0.21,68.93,0.3,13835,3434,24.82,Eastern Mediterranean
Bangladesh,81523,1095,17249,63179,3471,46,502,1.34,21.16,6.35,60391,21132,34.99,South-East Asia
Barbados,96,7,83,6,0,0,0,7.29,86.46,8.43,92,4,4.35,Americas
Belarus,52520,298,27760,24462,704,5,1117,0.57,52.86,1.07,46868,5652,12.06,Europe
Belgium,59819,9646,16498,33675,108,10,45,16.13,27.58,58.47,58907,912,1.55,Europe
Belize,20,2,16,2,0,0,0,10.0,80.0,12.5,19,1,5.26,Americas
Benin,388,5,217,166,83,1,29,1.29,55.93,2.3,261,127,48.66,Africa
Bhutan,62,0,19,43,0,0,0,0.0,30.65,0.0,48,14,29.17,South-East Asia
Bolivia,16929,559,2431,13939,764,26,59,3.3,14.36,22.99,12728,4201,33.01,Americas
Bosnia and Herzegovina,2893,163,2119,611,61,2,19,5.63,73.25,7.69,2606,287,11.01,Europe
Botswana,48,1,24,23,0,0,0,2.08,50.0,4.17,40,8,20.0,Africa
Brazil,828810,41828,445123,341859,25982,909,15158,5.05,53.71,9.4,645771,183039,28.34,Americas
Brunei,141,2,138,1,0,0,0,1.42,97.87,1.45,141,0,0.0,Western Pacific
Bulgaria,3191,172,1716,1303,105,4,28,5.39,53.78,10.02,2627,564,21.47,Europe
Burkina Faso,892,53,791,48,0,0,1,5.94,88.68,6.7,888,4,0.45,Africa
Burma,261,6,165,90,1,0,0,2.3,63.22,3.64,236,25,10.59,South-East Asia
Burundi,85,1,45,39,0,0,0,1.18,52.94,2.22,63,22,34.92,Africa
Cabo Verde,697,6,294,397,40,0,0,0.86,42.18,2.04,536,161,30.04,Africa
Cambodia,126,0,125,1,0,0,0,0.0,99.21,0.0,125,1,0.8,Western Pacific
Cameroon,8681,212,4836,3633,0,0,0,2.44,55.71,4.38,7392,1289,17.44,Africa
Canada,99582,8124,0,91458,436,54,0,8.16,0.0,inf,95934,3648,3.8,Americas
Central African Republic,2044,7,360,1677,92,2,322,0.34,17.61,1.94,1451,593,40.87,Africa
Chad,848,72,711,65,0,0,5,8.49,83.84,10.13,836,12,1.44,Africa
Chile,160846,2870,131358,26618,6754,222,4914,1.78,81.67,2.18,122499,38347,31.3,Americas
China,84228,4638,79472,118,12,0,8,5.51,94.35,5.84,84177,51,0.06,Western Pacific
Colombia,45344,1562,17823,25959,1534,57,457,3.44,39.31,8.76,36759,8585,23.35,Americas
Comoros,163,2,97,64,1,0,0,1.23,59.51,2.06,132,31,23.48,Africa
Congo (Brazzaville),728,24,221,483,0,0,0,3.3,30.36,10.86,635,93,14.65,Africa
Congo (Kinshasa),4637,101,580,3956,122,3,13,2.18,12.51,17.41,3764,873,23.19,Africa
Costa Rica,1612,12,731,869,74,0,9,0.74,45.35,1.64,1228,384,31.27,Americas
Cote d'Ivoire,4684,45,2263,2376,280,4,51,0.96,48.31,1.99,3431,1253,36.52,Africa
Croatia,2249,107,2133,9,0,1,1,4.76,94.84,5.02,2247,2,0.09,Europe
Cuba,2233,84,1902,247,14,0,9,3.76,85.18,4.42,2133,100,4.69,Americas
Cyprus,980,18,807,155,5,0,0,1.84,82.35,2.23,960,20,2.08,Europe
Czechia,9938,329,7215,2394,83,1,49,3.31,72.6,4.56,9529,409,4.29,Europe
Denmark,12286,594,11180,512,64,1,38,4.83,91.0,5.31,12062,224,1.86,Europe
Djibouti,4441,38,2730,1673,43,1,211,0.86,61.47,1.39,4123,318,7.71,Eastern Mediterranean
Dominica,18,0,16,2,0,0,0,0.0,88.89,0.0,18,0,0.0,Americas
Dominican Republic,22008,568,12754,8686,571,7,213,2.58,57.95,4.45,18708,3300,17.64,Americas
Ecuador,45778,3828,22679,19271,1338,108,817,8.36,49.54,16.88,41575,4203,10.11,Americas
Egypt,41303,1422,11108,28773,1577,45,417,3.44,26.89,12.8,31115,10188,32.74,Eastern Mediterranean
El Salvador,3481,68,1587,1826,108,0,83,1.95,45.59,4.28,2849,632,22.18,Americas
Equatorial Guinea,1306,12,200,1094,0,0,0,0.92,15.31,6.0,1306,0,0.0,Africa
Eritrea,41,0,39,2,0,0,0,0.0,95.12,0.0,39,2,5.13,Africa
Estonia,1970,69,1703,198,5,0,6,3.5,86.45,4.05,1910,60,3.14,Europe
